epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
83,142563,0.90248,0.69576,0.08895,0.83782,1.15554,0.95117,0.92149,0.97547,0.66178,0.95857,0.93228,0.97726,0.94811,1.0312,0.23656,0.00682,0.57355,1.31556,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,143584,0.89731,0.69465,0.08793,0.83282,1.15199,0.95351,0.92579,0.97638,0.66411,0.96051,0.93228,0.97789,0.94804,1.03056,0.23655,0.0068,0.568,1.31546,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,144601,0.89656,0.6779,0.08714,0.82706,1.15318,0.9579,0.93043,0.9775,0.66615,0.96348,0.93692,0.97858,0.9486,1.02964,0.23605,0.0068,0.5635,1.31526,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,145621,0.88987,0.68018,0.08804,0.82477,1.14989,0.96031,0.93228,0.97782,0.6665,0.96605,0.93878,0.9788,0.94948,1.02877,0.23592,0.00668,0.55918,1.31478,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,146642,0.88696,0.6732,0.08826,0.81757,1.1487,0.96283,0.93706,0.97844,0.66572,0.96938,0.93987,0.97924,0.94989,1.02788,0.23548,0.00671,0.55555,1.31485,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,147656,0.88739,0.67996,0.08796,0.82103,1.14905,0.96383,0.9393,0.97911,0.66516,0.96859,0.94393,0.97982,0.94962,1.02707,0.23536,0.00682,0.55198,1.31489,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,148674,0.8836,0.66469,0.08596,0.82003,1.14929,0.96483,0.94167,0.9795,0.66555,0.96959,0.94631,0.98004,0.94991,1.02648,0.23494,0.00687,0.54825,1.31484,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,149694,0.8853,0.67071,0.08611,0.8215,1.14882,0.96786,0.94527,0.98008,0.66533,0.96976,0.94712,0.98045,0.95079,1.02574,0.23444,0.0069,0.54566,1.31484,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,150774,0.87915,0.66348,0.08611,0.81368,1.14568,0.96784,0.94905,0.98042,0.66435,0.9706,0.94991,0.98065,0.95122,1.02547,0.23424,0.00692,0.54152,1.3155,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,151880,0.87402,0.65232,0.08613,0.80477,1.14175,0.96975,0.9516,0.98075,0.66573,0.97068,0.95215,0.98088,0.95152,1.02535,0.23432,0.00708,0.53844,1.31596,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
