epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
84,22260.4,0.83549,0.37395,0.0712,0.61884,0.00963,0.01225,0.97992,0.95049,0.97557,0.66003,0.98183,0.95231,0.97736,0.95755,1.0512,0.19869,0.00557,0.39697,0.0214,0,0.00013566,0.00013566,0.00013566
85,22523.4,0.83447,0.38562,0.07234,0.62026,0.00954,0.01483,0.97544,0.95176,0.97423,0.65994,0.97734,0.95362,0.97614,0.9566,1.05063,0.19839,0.00546,0.3992,0.0214,0,0.00013368,0.00013368,0.00013368
86,22785.5,0.8281,0.37245,0.07217,0.61331,0.00948,0.01765,0.97899,0.95095,0.97442,0.66128,0.9809,0.9528,0.97721,0.95733,1.04965,0.19562,0.00529,0.39547,0.02137,0,0.0001317,0.0001317,0.0001317
87,23047.6,0.82222,0.37275,0.07159,0.60408,0.00944,0.01696,0.97646,0.95176,0.97265,0.6602,0.97934,0.95455,0.97671,0.95707,1.0492,0.19556,0.00517,0.39499,0.02135,0,0.00012972,0.00012972,0.00012972
88,23310.2,0.82447,0.37142,0.07069,0.59992,0.00945,0.02171,0.97775,0.95176,0.97267,0.66142,0.98061,0.95455,0.97654,0.95669,1.04867,0.19562,0.00507,0.39371,0.02134,0,0.00012774,0.00012774,0.00012774
89,23572.3,0.81841,0.36625,0.07023,0.60507,0.00938,0.01735,0.97741,0.95083,0.97352,0.66216,0.98027,0.95362,0.97711,0.9573,1.0475,0.19572,0.00493,0.39419,0.02131,0,0.00012576,0.00012576,0.00012576
90,23835.5,0.81321,0.37229,0.06966,0.60077,0.00931,0.01459,0.98043,0.95269,0.97378,0.66355,0.98344,0.95547,0.97716,0.95722,1.04732,0.19585,0.00484,0.39259,0.02132,0,0.00012378,0.00012378,0.00012378
91,24099.2,0.81254,0.36252,0.06985,0.59455,0.00923,0.01716,0.97946,0.95176,0.97263,0.66316,0.98328,0.95547,0.97705,0.95741,1.04687,0.19602,0.00474,0.39114,0.0213,0,0.0001218,0.0001218,0.0001218
92,24361.4,0.80536,0.3568,0.06829,0.59049,0.00918,0.01613,0.97782,0.95083,0.97261,0.66578,0.98164,0.95455,0.97699,0.95728,1.0468,0.19597,0.00463,0.3898,0.02129,0,0.00011982,0.00011982,0.00011982
93,24624.2,0.79967,0.3644,0.06872,0.58553,0.00916,0.0118,0.97991,0.95038,0.9727,0.66219,0.98374,0.95409,0.9768,0.95736,1.04546,0.19605,0.00454,0.3905,0.02126,0,0.00011784,0.00011784,0.00011784
94,24886.2,0.80012,0.36502,0.0685,0.59071,0.00919,0.01652,0.9808,0.94749,0.9727,0.66274,0.98464,0.95114,0.9768,0.95718,1.04522,0.19616,0.00445,0.3914,0.02125,0,0.00011586,0.00011586,0.00011586
95,25148.1,0.79526,0.35113,0.0686,0.58174,0.00909,0.01721,0.97843,0.94991,0.97285,0.66403,0.9824,0.95362,0.97716,0.95732,1.04525,0.19634,0.00438,0.38653,0.02125,0,0.00011388,0.00011388,0.00011388
96,25410.4,0.78827,0.34572,0.06791,0.57448,0.00907,0.01246,0.97961,0.94712,0.97266,0.66477,0.98345,0.95083,0.9767,0.95746,1.04607,0.19555,0.00427,0.38448,0.02125,0,0.0001119,0.0001119,0.0001119
97,25672.3,0.78778,0.35254,0.06908,0.57834,0.00901,0.01171,0.98274,0.95049,0.97308,0.66696,0.98657,0.9542,0.97739,0.9575,1.04555,0.19594,0.00418,0.38074,0.02124,0,0.00010992,0.00010992,0.00010992
98,25934.5,0.78768,0.34652,0.06753,0.56918,0.009,0.00945,0.98364,0.94843,0.97306,0.66774,0.98653,0.95133,0.9773,0.95732,1.04486,0.19618,0.0041,0.38366,0.02123,0,0.00010794,0.00010794,0.00010794
99,26196.7,0.78348,0.34198,0.0674,0.56559,0.00903,0.0111,0.98231,0.94991,0.97315,0.66748,0.98519,0.95269,0.9773,0.9572,1.04462,0.19662,0.00403,0.38383,0.02123,0,0.00010596,0.00010596,0.00010596
100,26459.4,0.78086,0.34287,0.06638,0.56227,0.0089,0.00797,0.97893,0.94836,0.97225,0.66826,0.98276,0.95207,0.97725,0.95706,1.04425,0.19704,0.00393,0.38608,0.02123,0,0.00010398,0.00010398,0.00010398
101,26721.6,0.77602,0.33742,0.06653,0.56316,0.00882,0.00673,0.9827,0.94849,0.97294,0.66752,0.98654,0.9522,0.9771,0.9572,1.04368,0.19704,0.00392,0.38472,0.02123,0,0.000102,0.000102,0.000102
102,26983.2,0.7751,0.33978,0.06635,0.55497,0.00881,0.00531,0.97985,0.94732,0.97263,0.66863,0.98369,0.95103,0.97686,0.9569,1.0432,0.19488,0.00393,0.38164,0.02123,0,0.00010002,0.00010002,0.00010002
103,27246.2,0.77203,0.34788,0.06602,0.55938,0.00877,0.01267,0.98085,0.95012,0.97268,0.66951,0.98468,0.95383,0.97727,0.95709,1.0419,0.19728,0.00387,0.3809,0.02121,0,9.804e-05,9.804e-05,9.804e-05
104,27509,0.7629,0.33069,0.06475,0.55106,0.00868,0.00637,0.97812,0.95361,0.9726,0.6695,0.98187,0.95468,0.97752,0.95694,1.04193,0.19727,0.00379,0.3805,0.0212,0,9.606e-05,9.606e-05,9.606e-05
