epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
92,15960.8,0.98554,0.49217,0.09211,0.81987,0.0115,0.03275,0.97068,0.95192,0.97131,0.64341,0.97914,0.95811,0.97604,0.95385,1.09678,0.21788,0.01256,0.43291,0.02235,0,0.0001997,0.0001997,0.0001997
93,16133.8,0.98388,0.49187,0.09021,0.81711,0.01148,0.03151,0.97165,0.94991,0.97102,0.6435,0.97865,0.9564,0.97577,0.95385,1.09793,0.21649,0.01228,0.43208,0.02237,0,0.0001964,0.0001964,0.0001964
94,16307.5,0.97469,0.48718,0.09044,0.81567,0.01136,0.03624,0.97156,0.95064,0.97105,0.64302,0.97918,0.9564,0.97556,0.95367,1.09753,0.2166,0.01211,0.43139,0.02237,0,0.0001931,0.0001931,0.0001931
95,16480.6,0.97771,0.48113,0.08889,0.81165,0.01141,0.02854,0.9697,0.94805,0.97085,0.64284,0.97667,0.95455,0.97515,0.95352,1.09771,0.21656,0.01199,0.43318,0.02237,0,0.0001898,0.0001898,0.0001898
96,16653.8,0.97145,0.4842,0.09013,0.81187,0.01138,0.03296,0.97151,0.94991,0.97089,0.64283,0.9772,0.95547,0.97502,0.95357,1.09719,0.21657,0.0119,0.43266,0.02235,0,0.0001865,0.0001865,0.0001865
97,16826.8,0.97674,0.48504,0.08946,0.80208,0.01138,0.01863,0.97072,0.94991,0.9702,0.64212,0.97817,0.95619,0.97438,0.95305,1.09649,0.21664,0.01176,0.43281,0.02234,0,0.0001832,0.0001832,0.0001832
98,16999.5,0.97405,0.48178,0.0891,0.80513,0.01134,0.02594,0.97015,0.95083,0.96973,0.64133,0.97621,0.9564,0.97389,0.95256,1.09599,0.21634,0.01165,0.43503,0.02234,0,0.0001799,0.0001799,0.0001799
99,17172.6,0.97288,0.48237,0.08905,0.8038,0.01142,0.0488,0.96826,0.95269,0.97063,0.64199,0.97404,0.95826,0.97476,0.9531,1.09632,0.21621,0.01147,0.43336,0.02234,0,0.0001766,0.0001766,0.0001766
100,17345.4,0.97091,0.47896,0.08887,0.80003,0.01133,0.02176,0.9703,0.95083,0.9708,0.6427,0.97703,0.95733,0.97485,0.95328,1.09591,0.21625,0.01136,0.43233,0.02234,0,0.0001733,0.0001733,0.0001733
101,17518.8,0.96984,0.47778,0.08889,0.81082,0.01127,0.02457,0.97228,0.95083,0.97084,0.64283,0.98,0.95443,0.97487,0.9534,1.09569,0.21627,0.01123,0.43114,0.02234,0,0.00017,0.00017,0.00017
102,17691.8,0.96359,0.4682,0.08763,0.79675,0.01121,0.02039,0.97069,0.94712,0.9709,0.64216,0.97752,0.95362,0.97501,0.95349,1.09566,0.21618,0.01107,0.43404,0.02235,0,0.0001667,0.0001667,0.0001667
103,17865.2,0.95455,0.47073,0.08771,0.79195,0.01109,0.02192,0.97123,0.95083,0.97042,0.64103,0.97787,0.95733,0.97444,0.9529,1.0961,0.21622,0.01098,0.43447,0.02235,0,0.0001634,0.0001634,0.0001634
104,18038.1,0.95897,0.46477,0.08654,0.7909,0.01113,0.01952,0.96965,0.94849,0.96974,0.64177,0.97665,0.95455,0.97382,0.95259,1.09626,0.21672,0.01096,0.43707,0.02235,0,0.0001601,0.0001601,0.0001601
